player_id,player,college,conference,years,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,passer_rating,rushing_attempts,rushing_yards,rushing_touchdowns,wins,losses,highest_rank,conference_wins,conference_losses,points_for,points_against,years_missing,height,weight,age
2001-53,Quincy Carter,26,11,3,29.0,483.0,853.0,6447.0,35.0,25.0,125.16666666666669,251.0,606.0,11.0,25,11,7,16,8,959,744,0,74.1,225.0,23
2005-67,Charlie Frye,0,7,4,46.0,913.0,1436.0,11049.0,64.0,32.0,137.375,375.0,429.0,19.0,21,25,999,18,14,1312,1439,0,75.88,225.0,24
2013-73,Mike Glennon,54,0,4,36.0,646.0,1069.0,7411.0,63.0,31.0,124.975,111.0,-280.0,3.0,29,22,21,15,17,1510,1305,0,79.13,225.0,23
2017-52,DeShone Kizer,57,6,2,25.0,423.0,696.0,5809.0,47.0,19.0,147.8,263.0,992.0,18.0,14,11,4,0,0,816,647,0,76.13,233.0,21
2016-135,Dak Prescott,49,11,4,49.0,734.0,1169.0,9376.0,70.0,23.0,148.27499999999998,536.0,2521.0,41.0,34,18,1,17,15,1670,1186,0,74.25,226.0,23
2014-32,Teddy Bridgewater,41,1,3,39.0,781.0,1142.0,9817.0,72.0,24.0,154.66666666666666,226.0,170.0,6.0,30,9,7,17,5,1147,728,0,74.13,214.0,21
2010-122,Mike Kafka,56,4,4,30.0,408.0,637.0,4265.0,19.0,20.0,112.85,268.0,887.0,11.0,27,23,22,15,17,1162,1266,0,75.13,225.0,23
2014-36,Derek Carr,24,8,4,44.0,1087.0,1630.0,12843.0,113.0,24.0,148.825,164.0,190.0,5.0,32,20,15,24,8,1868,1530,0,74.38,214.0,23
2016-100,Connor Cook,47,4,4,43.0,673.0,1170.0,9194.0,71.0,22.0,132.125,176.0,209.0,3.0,43,11,2,27,7,1647,981,0,76.0,217.0,23
2019-6,Daniel Jones,18,0,3,36.0,764.0,1275.0,8201.0,52.0,29.0,123.33333333333331,406.0,1323.0,17.0,19,19,22,7,17,1007,957,0,77.13,221.0,22
2018-203,Tanner Lee,51,4,3,31.0,574.0,1040.0,6744.0,46.0,37.0,115.59999999999998,89.0,-384.0,2.0,10,26,999,6,19,737,1213,0,76.25,218.0,23
2015-89,Sean Mannion,62,10,4,47.0,1187.0,1838.0,13600.0,83.0,54.0,135.2,132.0,-804.0,2.0,24,26,7,15,21,1445,1425,0,77.63,229.0,23
2020-26,Jordan Love,90,8,3,38.0,689.0,1125.0,8600.0,60.0,29.0,135.5666666666667,170.0,403.0,9.0,24,15,14,17,7,1390,1038,0,75.75,224.0,21
2011-74,Ryan Mallett,5,11,3,37.0,552.0,955.0,8385.0,69.0,24.0,140.6,135.0,-141.0,7.0,27,12,5,15,9,1296,908,0,78.75,253.0,23
2019-1,Kyler Murray,59,2,3,29.0,350.0,519.0,5406.0,50.0,14.0,194.96666666666667,207.0,1478.0,13.0,32,9,2,22,6,1670,1131,0,70.13,207.0,22
2022-247,Skylar Thompson,36,2,5,45.0,552.0,885.0,7134.0,42.0,16.0,145.74,355.0,1087.0,26.0,33,28,16,21,24,1699,1505,0,73.88,217.0,25
2017-215,Brad Kaaya,44,0,3,38.0,721.0,1189.0,9972.0,69.0,24.0,146.1,94.0,-386.0,4.0,23,16,10,13,11,1187,923,0,75.75,214.0,22
2021-2,Zach Wilson,7,6,3,30.0,566.0,837.0,7652.0,56.0,15.0,161.46666666666667,212.0,642.0,15.0,25,13,8,0,0,1246,793,0,74.13,214.0,22
2006-85,Brodie Croyle,1,11,4,39.0,488.0,869.0,6382.0,41.0,22.0,135.22500000000002,183.0,-177.0,4.0,30,20,4,17,15,1256,850,0,74.5,205.0,23
2008-94,Kevin O'Connell,69,8,4,39.0,664.0,1151.0,7689.0,46.0,34.0,117.25,395.0,1312.0,19.0,16,31,999,12,19,1028,1345,0,77.0,225.0,23
2009-101,Stephen McGee,79,2,4,40.0,485.0,815.0,5475.0,28.0,13.0,119.6,387.0,1750.0,11.0,25,24,17,14,18,1377,1396,0,74.88,225.0,23
2018-32,Lamar Jackson,41,0,3,38.0,619.0,1086.0,9043.0,69.0,27.0,140.73333333333335,655.0,4132.0,50.0,25,14,3,16,8,1421,978,0,74.25,216.0,21
2017-10,Patrick Mahomes,81,2,3,32.0,857.0,1349.0,11252.0,93.0,29.0,151.79999999999998,308.0,820.0,22.0,16,21,999,9,18,1476,1584,0,74.13,225.0,21
2008-162,Erik Ainge,77,11,4,43.0,733.0,1210.0,8700.0,72.0,35.0,128.3,82.0,-227.0,1.0,34,17,3,21,13,1400,1136,0,77.5,225.0,22
2000-163,Tee Martin,77,11,4,38.0,326.0,588.0,4592.0,32.0,16.0,122.875,204.0,614.0,16.0,43,7,1,30,4,1665,854,0,73.6,227.0,22
2010-209,Levi Brown,84,12,2,23.0,522.0,830.0,6284.0,38.0,12.0,136.7,87.0,24.0,1.0,17,9,999,14,1,864,664,0,75.5,229.0,23
